,0,1,2
0,欢迎,huānyíng,приветствовать
1,本来,běnlái,изначально
2,惊喜,jīngxǐ,"восторгаться, восхищаться; приятный сюрприз"
3,提前,tíqián,заранее
4,没关系,méi guānxi,"пустяки, ничего страшного"
5,藏,cáng,прятаться
6,喊,hǎn,громко кричать
7,教室,jiàoshì,аудитория
8,高兴,gāoxìng,радостный
9,够,gòu,"достаточно, хватит"
10,吹,chuī,дуть
11,介绍,jièshào,"представлять, знакомить с кем-либо/чем-либо, описывать"
12,分数,fēnshù,мат. дробь
13,帮/帮助,bāng/ bāngzhù,помогать
14,理解,lǐjiě,"понимать, разобраться и объяснить"
15,数学,shùxué,математика
16,课本,kèběn,учебник
17,例题,lìtí,мат. пример
18,先,xiān,сейчас / сначала
19,算,suàn,посчитать
20,错,cuò,"ошибочный, зд.: рез.морфема"
21,再,zài,"еще, снова, опять (в будущем)"
22,加,jiā,добавлять
23,上,shàng,"на, над, зд.: рез. морфема"
24,如果,rúguǒ,если…
25,把,bă,"предлог, вводит винительный падеж (кого-что?)"
26,平均,píngjūn,"уравнивать, поровну, средний, в среднем"
27,分,fēn,"делить, часть"
28,切,qiē,нарезать на...
29,成,chéng,"превращаться, зд.: рез. морфема."
30,份,fèn,"часть, доля"
31,之,zhī,в письменной речи имеет значение частицы 的
32,叔叔,shūshu,дядя
33,分子,fēnzĭ,числитель
34,分母,fēn mǔ,знаменатель
35,整数,zhěngshù,целое число / целая часть дроби
36,带分数,dài fēnshù,дробная часть
37,分数线,fēnshù xiàn,дробная черта
38,真分数,zhēn fēnshù,правильная дробь
39,假分数,jiǎ fēnshù,неправильная дробь
40,小数,xiǎoshù,десятичная дробь
41,住,zhù,"жить, проживать"
42,兄弟,xiōngdì,братья
43,跟,gēn,с [кем-л.] (предлог)
44,另外,lìngwài,другие
45,分别,fēnbié,по отдельности
46,非常,fēicháng,"очень, чрезвычайно"
47,跳,tiào,прыгать
48,进,jìn,входить (зд.: рез. морфема)
49,澡盆,zǎopén,ванна
50,洒,sǎ,"пролить, вылиться"
51,出来,chūlái,выходить наружу (зд.: рез. морфема)
52,顺便,shùnbiàn,"заодно, попутно"
