,0,1,2
0,时间,shíjiān,время
1,这么,zhème,настолько
2,晚,wǎn,"поздний, поздно"
3,了,le,модальная частица
4,怎么,zěnme,как / почему?
5,还,hái,еще
6,睡觉,shuìjiào,спать
7,明天,míngtiān,завтра
8,测试,cèshì,тест
9,物理学,wùlǐ xué,физика
10,别,bié,отрицание
11,担心,dānxīn,"беспокоиться, волноваться"
12,聪明,cōngmíng,умный
13,一定,yīdìng,обязательно
14,会,huì,уметь / в будущем времени имеет значение возможности
15,通过,tōngguò,пройти
16,懂,dǒng,понимать
17,解答,jiědá,решать
18,问题,wèntí,"задача, вопрос, проблема"
19,问,wèn,спрашивать
20,所以,suǒyǐ,поэтому
21,今天,jīntiān,сегодня
22,晚上,wǎnshang,вечер
23,准备,zhǔnbèi,"готовить (подготавливать), готовиться"
24,一下,yīxià,разок
25,加油,jiāyóu,удачи!
26,加,jiā,добавить
27,油,yóu,масло (жидкое)
28,昨天,zuótiān,вчера
29,今年,jīnnián,этот год
30,明年,míngnián,следующий год
31,去年,qùnián,прошлый год
32,什么时候,shénme shíhou,когда?
33,时候,shíhou,время/пора
34,试题,shìtí,вопросы / задания в тесте
35,书,shū,книга.
36,记得,jìde,помнить
37,做,zuò,делать (здесь: видеть)
38,梦,mèng,сон / сновидение
39,但是,dànshì,"но, однако"
40,响,xiǎng,звенеть
41,打电话,dǎ diànhuà,звонить по телефону
42,解释,jiěshì,объяснять
43,都,dōu,все
44,应该,yīnggāi,"должно, должно быть, следовало бы."
