,0,1,2
0,醒,xǐng,просыпаться
1,嗯,ǹg,угу (междометие)
2,现在,xiànzài,сейчас
3,几,jǐ,сколько? (до 10) несколько
4,点,diǎn,"точка, капля, сч. сл. “час” для называния времени по часам"
5,都,dōu,все / уже
6,半,bàn,половина
7,再,zài,"снова, еще раз"
8,迟到,chídào,опоздать
9,快,kuài,"быстро, скоро"
10,起,qǐ,подниматься
11,床,chuáng,кровать
12,吧,ba,частица
13,孩子,háizi,ребенок
14,马上,mǎshàng,"скоро, сразу"
15,差,chà,недоставать
16,刻,kè,сч.сл. “четверть”
17,昨天,zuótiān,вчера
18,好像,hǎoxiàng,"похоже, что"
19,左右,zuǒyòu,“влево-вправо” / примерно
20,左,zuǒ,лево
21,右,yòu,право
22,哎哟,āiyō,"ого, ух ты (междометие)"
23,应该,yīnggāi,"должно быть, следует"
24,分,fēn,"часть, зд.: сч.сл. “минута”"
25,去,qù,"идти, направляться, (англ. go)"
26,吃,chī,есть (кушать)
27,早饭,zǎofàn,завтрак
28,课间,kè jiān,перемена
29,手表,shǒubiǎo,наручные часы
30,钟,zhōng,"часы башенные, настенные, настольные"
31,闹钟,nàozhōng,будильник
32,中午,zhōngwǔ,полдень
33,上午,shàngwǔ,первая половина дня (до полудня)
34,下午,xiàwǔ,вторая половина дня (после полудня)
35,歌,gē,песня
36,刷牙,shuāyá,чистить зубы
37,出发,chūfā,"выходить, отправляться"
38,上学,shàngxué,"ходить в школу, ходить на занятия"
39,午饭,wǔfàn,обед
40,放学,fàngxué,заканчивать занятия (уроки)
41,打,dǎ,"бить, играть"
42,乒乓球,pīngpāngqiú,настольный теннис
43,功课,ōngkè,"домашнее задание, занятие (урок)"
44,晚饭,wǎnfàn,ужин
45,聊天,liáotiān,"болтать, разговаривать, chat"
46,洗澡,xǐzǎo,"принимать ванну, мыться"
47,听,tīng,"слышать, слушать"
48,音乐,yīnyuè,музыка
49,晚安,wǎn’ān,спокойной ночи
50,能,néng,"мочь, уметь (физически, по обстоятельствам)"
51,叫醒,jiàoxǐng,будить
52,着急,zháojí,волноваться
53,的时候,de shíhòu,во время (чего-либо)
54,考试,kǎoshì,(名词) экзамен
55,每天,měitiān,каждый день
56,大声,dàshēng,громко
57,让,ràng,"позволить, разрешить"
58,喵,miāo,звукоподр. мяу!
