,0,1,2
0,双生,shuāngshēng,Близнецы
1,超市,chāoshì,супермаркет
2,超,chāo,"превышать, превосходить, гипер-, super-"
3,市,shì (shìchǎng),рынок (городская площадь)
4,买,mǎi,покупать
5,一些,yīxiē,"несколько, немного"
6,东西,dōngxi,"предмет, вещь"
7,后天,hòutiān,послезавтра
8,联欢会,liánhuān huì,"встреча, вечеринка"
9,记得,jìde,помнить
10,可是,kěshì,"но, однако"
11,已经,yǐjīng,уже
12,个,ge,счетное слово (штука)
13,关,guān,закрывать
14,门,mén,дверь
15,但是,dànshì,"но, однако"
16,忙,máng,"занятой, загруженный"
17,商店,shāngdiàn,магазин
18,不但,búdàn,не только …
19,各种,gè zhǒng,"различный, разного рода"
20,零食,língshí,"закуска, перекус"
21,和,hé,союз и
22,饮料,yǐnliào,напиток
23,而且,érqiě,"к тому же, вдобавок"
24,包邮,bāo yóu,доставка включена в стоимость (бесплатная доставка)
25,一般,yìbān,"обычно, как правило"
26,实体,shítǐ,"материальный, осязаемый"
27,购物,gòuwù,делать покупки
28,简单,jiǎndān,"простой, элементарный"
29,用,yòng,"использовать, пользоваться"
30,谷歌,gǔgē,Google
31,浏览器,liúlǎn qì,браузер
32,搜索,sōusuǒ,"искать, поиск"
33,然后,ránhòu,"потом, затем, (англ. then/afterwards)"
34,后,hòu,"после, за, вслед за"
35,打开,dǎkāi,открывать
36,链接,liànjiē,"ссылка, Link"
37,挑选,tiāoxuǎn,выбирать
38,自己,zìjǐ,"сам, себя (возвр. мест.)"
39,喜欢,xǐhuan,"любить, нравиться, like"
40,商品,shāngpǐn,товар
41,选择,xuǎnzé,выбирать
42,付款,fùkuǎn,"платить, оплата"
43,方式,fāngshì,"способ, метод"
44,打,dǎ,"бить, ударять, make"
45,电话,diànhuà,телефон
46,打电话,dǎ diànhuà,звонить по телефону
47,帮助,bāngzhù,помогать
48,到,dào,"прибывать, добираться, приходить"
49,号码,hàomǎ,номер
50,多少,duōshǎo,сколько?
