,0,1,2
0,银行卡支付,yínháng kǎ zhīfù,оплата банковской картой
1,信用卡支付,xìnyòng kǎ zhīfù,оплата кредитной картой
2,营业时间,yíngyè shíjiān,business hours
3,特价,tèjià,"“специальная цена”, сниженная цена"
4,优惠,yōuhuì,скидка
5,订购,dìnggòu,заказывать
6,进口,jìnkǒu,импорт
7,出口,chūkǒu,экспорт
8,本,běn,"“корешок” (для книг, журналов, словарей)"
9,台,tái,“подставка/башня” (для оргтехники)
10,只,zhī,"сч. сл. для зверей, птиц, одного предмета из пары (один глаз, одна рука, одна тапочка), лодок."
11,支,zhī,"“ветка” сч.сл. для предметов, похожих на палочки (ручки, кисти)"
12,瓶,píng,бутылка
13,双,shuāng,"“пара” сч.сл. для предметов, составляющих пары (обувь, лыжи, перчатки…)"
14,食物,shíwù,"продукты питания, еда"
15,开心,kāixīn,"веселый, радостный"
16,挨饿,ái’è,"терпеть (испытывать) голод, голодать"
17,带,dài,"пояс, ремень; приносить, иметь при себе"
18,牛奶,niúnǎi,молоко (коровье)
19,猫粮,māoliáng,кошачий корм
20,这些,zhèxiē,эти
21,便宜,piányí,"удобный, выгодный, дешевый"
22,上床,shàngchuáng,ложиться в кровать
23,大家,dàjiā,все
24,网上购物,wǎng shàng gòuwù,онлайн шоппинг
25,购物,gòuwù,делать покупки
26,网购,wǎnggòu,"покупка через Интернет, покупать через Интернет"
27,简单,jiǎndān,"простой, примитивный"
28,安全,ānquán,"безопасность, безопасный"
29,因为,yīnwèi,"по причине..., потому что..."
30,自己,zìjǐ,"сам, себя, собственный"
31,选择,xuǎnzé,"выбор, выбирать"
32,支付,zhīfù,"платить, уплачивать"
33,货到付款,huòdào fùkuǎn,оплата после доставки
34,货到,huòdào,прибытие груза
35,付款,fùkuǎn,"производить платеж, оплачивать"
36,方法,fāngfǎ,метод
37,方便,fāngbiàn,удобный
38,经常,jīngcháng,"ежедневный, повседневный, часто"
39,犯,fàn,"совершать (преступление, ошибку), нарушать (правила)"
40,比如,bǐrú,например
41,总是,zǒngshì,"всегда, постоянно"
42,挑选,tiāoxuǎn,выбирать
43,后来,hòulái,"потом, в дальнейшем, впоследствии"
44,才,cái,"только, только что (выражает запоздалость по срав. с 就)"
45,购物车,gòuwùchē,"тележка, корзина для покупок"
46,车,chē,"телега, повозка, машина"
47,地方,dìfang,"место, местоположение"
48,点击,diǎnjī,"кликать, щелкать (мышкой)"
49,添加,tiānjiā,добавлять
50,出现在,chūxiàn zài,"появиться в, возникнуть в"
51,里,lǐ,"в, внутри"
52,取消,qǔxiāo,"аннулировать, отменить, отмена (кнопка)"
53,消失,xiāoshī,"исчезать, пропадать"
54,神奇,shénqí,"удивительный, чудесный, волшебный"
55,次,cì,сч. сл. для раз
56,台,tái,"сч. сл. для техники (телевизор, компьютер и т.д.)"
57,收货,shōuhuò,"получать заказанный товар, принимать поставку"
58,以后,yǐhòu,"после, потом"
59,觉得,juéde,"полагать, думать"
60,申请,shēnqǐng,подавать заявление
61,退换货,tuìhuànhuò,возврат и замена (обмен) товара
62,退货,tuìhuò,возвращать купленный товар
63,退,tuì,"возвращать, отдавать обратно"
64,换,huàn,"менять, обменивать"
65,再次,zàicì,"повторно, ещё раз"
66,下单,xiàdān,делать заказ
67,包裹,bāoguǒ,"упаковывать, посылка"
68,邮寄,yóujì,отправлять (почтой)
69,длинный,cháng,"длинный, долгий"
70,想,xiǎng,"думать, размышлять, хотеть"
71,等,děng,"ждать, ожидать"
72,订单,dìngdān,заказ (на покупку чего-либо)
73,对了,duìle,"да, так!, совершенно верно!, да, кстати ... (вводное слово)"
74,月,yuè,месяц
75,写错,xiěcuò,написать неправильно
76,收件,shōujiàn,входящие (напр. о почтовых сообщениях или смс)
77,收件人,shōujiànrén,"адресат, получатель (письма)"
78,唉,"āi, ài","ай!, ах! (досада или сожаление), угу!, ага! (согласие)"
79,夸,kuā,хвалить
80,笨,bèn,глупый
