,0,1,2
0,双生,shuāngshēng,Близнецы
1,超市,chāoshì,супермаркет
2,超,chāo,"превышать, превосходить, гипер-, super-,"
3,市,shì,рынок (городская площадь)
4,买,mǎi,покупать
5,一些,yìxiē,"несколько, немного (числит. + сч.слово)"
6,东西,dōngxi,"предмет, вещь"
7,后天,hòutiān,послезавтра
8,就,jiù,"уже, сразу, вот-вот"
9,过,guò,"проходить, проживать, праздновать"
10,航天,hángtiān,"космонавтика, космический"
11,日,rì,день
12,记得,jìde,помнить
13,咱们,zánmen,мы (с тобой)
14,附近,fùjìn,"неподалеку, поблизости"
15,家,jiā,зд.: счетное слово для учреждений
16,新,xīn,новый
17,谷歌,gǔgē,Google
18,地图,dìtú,карта
19,告诉,gàosù,"сказать (кому-то), сообщить"
20,地址,dìzhǐ,адрес
21,街,jiē,улица
22,号,hào,номер
23,层,céng,"этаж, слой, ярус (счетное слово)"
24,进,jìn,"войти, входить"
25,楼,lóu,здание
26,往,wǎng,по направлению к (предлог)
27,拐,guǎi,"повернуть, завернуть"
28,米,mǐ,метр
29,到,dào,"прибывать, добираться"
30,以后,yǐhòu,"потом, после этого (послелог)"
31,一起,yìqǐ,вместе
32,打电话,dǎ diànhuà,звонить по телефону
33,打,dǎ,"бить, ударять, make"
34,电话,diànhuà,телефон
35,号码,hàomǎ,номер
36,多少,duōshǎo,сколько?
37,拜拜,bàibài,Пока-пока
38,浏览器,liúlǎn qì,браузер
39,搜到,sōudào,найти
40,搜索,sōusuǒ,"искать, поиск"
41,送货,sòng huò,доставка
42,送,sòng,"доставлять, провожать"
43,货,huò,товар
44,服务,fúwù,"услуга, обслуживать"
45,花,huā,тратить
46,订购,dìnggòu,заказывать
47,第,dì,"служ.слово, показатель порядкового числительного"
48,链接,liànjiē,"ссылка, Link"
49,发,fā,"отправлять (смс, e-mail)"
50,已经,yǐjīng,уже
51,挑选,tiāoxuǎn,выбирать (при покупке)
52,支付,zhīfù,"оплачивать, оплата"
53,购物,gòuwù,"покупать, торговля"
54,车,chē,"телега, колесное трансп. ср-во"
55,下面,Xiàmiàn,"внизу, ниже"
56,购买,gòumǎi,покупать
57,点击,diǎnjī,"нажимать, щелкать, кликать"
58,选择,xuǎnzé,выбирать
59,付款,fùkuǎn,"выплачивать, оплата, платеж"
60,方式,fāngshì,способ
61,以前,yǐqián,"ранее, до этого (послелог)"
62,订单,dìngdān,заказ
63,当,dàng,тот же самый; этот же
64,忘,wàng,забывать
65,方便,fāngbiàn,удобно
66,购物,gòuwù,делать покупки
67,对....了解,duì… liǎojiě,разбираться в чем-либо
68,对,duì,по отношению к чему-либо (предлог)
69,中文,zhōngwén,китайский язык / культура
70,老外,lǎowài,иностранец
71,工厂,gōngchǎng,завод
72,参观,cānguān,"осматривать, экскурсия"
73,路,lù,"дорога, путь, улица"
74,当中,dāngzhōng,"на середине, посреди (послелог)"
75,厂长,chǎngzhǎng,директор завода
76,长,zhǎng,"главный, глава, расти"
77,对不起,duìbuqǐ,извините
78,翻译,fānyì,"переводить, переводчик"
79,句,jù,"предложение, фраза (сч.слово для фраз)"
80,意思,yìsi,смысл
81,厕所,cèsuǒ,туалет
82,哦,ó,"а-а!, м-м!"
83,次,cì,раз (счетное слово)
84,奇怪,qíguài,"странный, удивляться"
85,从来不,cóngláibù,никогда не
86,笑话,xiàohua,"шутка, анекдот"
